q [rad],qvel [rad/s],tau [Nm],i [mA],dt [ms]
0,0,0.0196691,0,1.60781e+12
0,0,0.0196691,0,0.544
0,0,0.0196691,0,0.075
0,0,0.0196691,0,0.062
0,0,0.0196691,0,0.055
0,0,0.0196691,0,0.059
0,0,0.0196691,0,0.054
0,0,0.0196691,0,0.056
0,0,0.0196691,0,0.053
0,0,0.0196691,0,0.057
0,0,0.0196691,0,0.052
0,0,0.0196691,0,0.057
0,0,0.0196691,0,0.053
0,0,0.0196691,0,0.056
0,0,0.0196691,0,0.052
0,0,0.0196691,0,0.057
0,0,0.0196691,0,0.052
0,0,0.0196691,0,0.057
0,0,0.0196691,0,0.054
0,0,0.0196691,0,0.085
0,0,0.0196691,0,0.056
0,0,0.0196691,0,0.141
0,0,0.0196691,0,0.059
0,0,0.0196691,0,0.059
0,0,0.0196691,0,0.053
0,0,0.0196691,0,0.057
0,0,0.0196691,0,0.053
0,0,0.0196691,0,0.056
0,0,0.0196691,0,0.053
0,0,0.0196691,0,0.057
0,0,0.0196691,0,0.053
0,0,0.0196691,0,0.056
0,0,0.0196691,0,0.054
0,0,0.0196691,0,0.056
0,0,0.0196691,0,0.053
0,0,0.0196691,0,0.056
0,0,0.0196691,0,0.053
0,0,0.0196691,0,0.057
0,0,0.0196691,0,0.052
0,0,0.0196691,0,0.057
0,0,0.0196691,0,0.052
0,0,0.0196691,0,0.057
0,0,0.0196691,0,0.054
0,0,0.0196691,0,0.056
0,0,0.0196691,0,0.053
0,0,0.0196691,0,0.056
0,0,0.0196691,0,0.052
0,0,0.0196691,0,0.08
0,0,0.0196691,0,0.057
0,0,0.0196691,0,0.056
0,0,0.0196691,0,0.052
0,0,0.0196691,0,0.057
0,0,0.0196691,0,0.149
0,0,0.0196691,0,0.066
0,0,0.0196691,0,0.055
0,0,0.0196691,0,0.057
0,0,0.0196691,0,0.053
0,0,0.0196691,0,0.057
0,0,0.0196691,0,0.052
0,0,0.0196691,0,0.057
0,0,0.0196691,0,0.054
0,0,0.0196691,0,0.056
0,0,0.0196691,0,0.052
0,0,0.0196691,0,0.057
0,0,0.0196691,0,0.053
0,0,0.0196691,0,0.057
0,0,0.0196691,0,0.053
0,0,0.0196691,0,0.056
0,0,0.0196691,0,0.053
0,0,0.0196691,0,0.056
0,0,0.0196691,0,0.053
0,0,0.0196691,0,0.058
0,0,0.0196691,0,0.053
0,0,0.0196691,0,0.057
0,0,0.0196691,0,0.053
0,0,0.0196691,0,0.056
0,0,0.0196691,0,0.053
0,0,0.0196691,0,0.057
0,0,0.0196691,0,0.053
0,0,0.0196691,0,0.056
0,0,0.0196691,0,0.056
0,0,0.0196691,0,0.05
0,0,0.0196691,0,0.049
0,0,0.0196691,0,0.049
0,0,0.0196691,0,0.05
0,0,0.0196691,0,0.049
0,0,0.0196691,0,0.049
0,0,0.0196691,0,0.049
0,0,0.0196691,0,0.049
0,0,0.0196691,0,0.049
0,0,0.0196691,0,0.049
0,0,0.0196691,0,0.048
0,0,0.0196691,0,0.05
0,0,0.0196691,0,0.048
0,0,0.0196691,0,0.049
0,0,0.0196691,0,0.049
0,0,0.0196691,0,0.05
0,0,0.0196691,0,0.048
0,0,0.0196691,0,0.05
0,0,0.0196691,0,0.049
0,0,0.0196691,0,0.049
0,0,0.0196691,0,0.049
0,0,0.0196691,0,0.049
0,0,0.0196691,0,0.049
0,0,0.0196691,0,0.049
0,0,0.0196691,0,0.049
0,0,0.0196691,0,0.048
0,0,0.0196691,0,0.05
0,0,0.0196691,0,0.05
0,0,0.0196691,0,0.048
0,0,0.0196691,0,0.05
0,0,0.0196691,0,0.049
0,0,0.0196691,0,0.048
0,0,0.0196691,0,0.05
0,0,0.0196691,0,0.049
0,0,0.0196691,0,0.049
0,0,0.0196691,0,0.049
0,0,0.0196691,0,0.05
0,0,0.0196691,0,0.048
0,0,0.0196691,0,0.068
0,0,0.0196691,0,0.054
0,0,0.0196691,0,0.048
0,0,0.0196691,0,0.05
0,0,0.0196691,0,0.084
0,0,0.0196691,0,0.104
0,0,0.0196691,0,0.114
0,0,0.0196691,0,0.066
0,0,0.0196691,0,0.05
0,0,0.0196691,0,0.047
0,0,0.0196691,0,0.046
0,0,0.0196691,0,0.045
0,0,0.0196691,0,0.046
0,0,0.0196691,0,0.045
0,0,0.0196691,0,0.046
0,0,0.0196691,0,0.045
0,0,0.0196691,0,0.046
0,0,0.0196691,0,0.046
0,0,0.0196691,0,0.045
0,0,0.0196691,0,0.045
0,0,0.0196691,0,0.045
0,0,0.0196691,0,0.045
0,0,0.0196691,0,0.046
0,0,0.0196691,0,0.045
0,0,0.0196691,0,0.045
0,0,0.0196691,0,0.046
0,0,0.0196691,0,0.046
0,0,0.0196691,0,0.045
