q [rad],qvel [rad/s],tau [Nm],i [mA],dt [ms]
-0.133742,0,-0.0590776,697,14.465
-0.133742,0,-0.062994,714,5.496
-0.133742,0,-0.0591168,697,14.183
-0.133742,0,-0.0568383,665,6.486
-0.133742,0,-0.0617717,697,9.172
-0.133742,0,-0.0527235,730,10.219
-0.133742,0,-0.0598673,714,10.045
-0.133742,0,-0.0588988,665,10.067
-0.133742,0,-0.0519047,730,9.812
-0.133742,0,-0.0649625,730,10.057
-0.133742,0,-0.0578942,697,9.75
-0.133742,0,-0.0625649,714,10.372
-0.133742,0,-0.0624309,697,9.819
-0.133742,0,-0.0546646,714,9.839
-0.133742,0,-0.0674227,730,9.96
-0.133742,0,-0.0594813,746,10.132
-0.133742,0,-0.059941,697,10.06
-0.133742,0,-0.0574629,746,10.023
-0.133742,0,-0.0447086,730,9.789
-0.133742,0,-0.0493369,746,10.121
-0.133742,0,-0.0396245,730,9.917
-0.132845,0,-0.041611,762,9.964
-0.132845,0,-0.0379449,697,9.984
-0.131049,0,-0.0305366,730,10.048
-0.129254,0,-0.0387301,730,10.043
-0.126561,0,-0.0251292,730,10.027
-0.122073,0.897599,-0.027129,714,9.836
-0.111302,0.897599,-0.0225499,746,10.247
-0.110405,0.897599,-0.0107064,730,9.784
-0.103224,0.897599,-0.00540389,552,9.984
-0.0942479,0.897599,0.00254586,440,9.956
-0.0852719,0.897599,0.00116778,440,10.11
-0.0762959,0.897599,0.00954982,375,9.98
-0.0610367,0,0.025243,246,10.436
-0.0547535,0.897599,0.026246,133,9.539
-0.0484703,0,0.0468531,198,10.83
-0.0430847,0,0.0599592,37,11.787
-0.035904,0.897599,0.0773109,-44,7.635
-0.026928,0.897599,0.0720914,-12,9.78
-0.0161568,0.897599,0.0875252,-44,10.205
-0.00538559,1.7952,0.0960254,-173,9.844
0.00538559,0.897599,0.0946249,-302,10.107
0.00718079,0.897599,0.105167,-414,9.749
0.0206448,0.897599,0.113971,-495,10.341
0.0215424,0,0.113763,-479,9.811
0.0251328,0,0.12802,-527,10.032
0.0296208,0,0.126804,-624,9.824
0.0296208,0,0.123728,-463,10.147
0.031416,0,0.140578,-495,10.157
0.0376992,0.897599,0.129891,-463,10.051
0.0385968,0.897599,0.141884,-463,9.713
0.0520607,0.897599,0.145449,-463,9.929
0.0529583,0.897599,0.142732,-592,10.042
0.0691151,0.897599,0.14772,-592,10.019
0.0762959,0.897599,0.136678,-721,10.084
0.0816815,0,0.158045,-656,9.861
0.0816815,0,0.162152,-817,10.042
0.0843743,0,0.159134,-833,10.018
0.0861695,0,0.171915,-769,10.051
0.0870671,0,0.165846,-721,10.135
0.0888623,0.897599,0.179549,-753,9.858
0.0924527,0.897599,0.171667,-704,10.116
0.0987359,0.897599,0.183505,-721,9.777
0.113995,0.897599,0.183336,-817,10.402
0.122971,0.897599,0.184342,-849,9.717
0.131049,0.897599,0.172412,-866,9.884
0.131947,0.897599,0.193527,-1027,10.169
0.137333,0,0.200503,-1011,10.187
0.141821,0,0.207032,-1075,9.742
0.143616,0,0.191666,-1075,10.361
0.144513,0,0.209871,-946,9.875
0.146309,0,0.209937,-1011,9.709
0.154387,0.897599,0.206957,-1011,10.719
0.155285,0.897599,0.206957,-978,9.761
0.162465,0.897599,0.206076,-962,11.689
0.177725,0.897599,0.216662,-1091,8.235
0.17952,0,0.205403,-1075,9.602
0.187598,0.897599,0.219484,-1107,10.163
0.193881,0,0.216375,-1252,9.809
0.197472,0,0.220946,-1140,10.265
0.200165,0,0.231529,-1301,9.961
0.200165,0,0.221317,-1236,10.257
0.200165,0,0.232343,-1236,9.574
0.201062,0,0.241445,-1236,10.136
0.20196,0.897599,0.231879,-1188,9.967
0.209141,0.897599,0.232025,-1188,10.077
0.210038,0,0.237645,-1140,9.78
0.214526,0,0.239882,-1236,10.269
0.219912,0,0.235685,-1252,9.712
0.229785,0.897599,0.226575,-1107,10.199
0.229785,0,0.234226,-1172,9.746
0.234273,0,0.244301,-1204,10.095
0.237864,0,0.237572,-1397,9.978
0.239659,0,0.242746,-1236,10.023
0.241454,0.897599,0.246994,-1252,10.038
0.243249,0,0.251029,-1268,10.084
0.245942,0.897599,0.254592,-1252,9.984
0.247737,0,0.242078,-1381,9.892
0.25043,0,0.249627,-1268,9.979
0.253123,0,0.242308,-1365,10.032
0.256713,0,0.242018,-1236,10.075
0.260304,0,0.237197,-1220,9.932
0.263894,0,0.236413,-1252,10.068
0.267484,0.897599,0.241545,-1301,10.056
0.270177,0,0.235638,-1301,9.786
0.273768,0.897599,0.254767,-1301,10.303
0.275563,0,0.241129,-1430,9.834
0.27646,0,0.240582,-1301,10.503
0.277358,0,0.241704,-1462,9.453
0.277358,0,0.226924,-1317,10.101
0.277358,0,0.242508,-1365,9.981
0.277358,0,0.238128,-1317,9.949
0.277358,0,0.239015,-1301,9.931
0.278256,0,0.246927,-1301,10.251
0.279153,0,0.235276,-1301,9.725
0.281846,0,0.23923,-1236,10.013
0.284539,0,0.227207,-1252,9.993
0.287232,0,0.225387,-1236,10.116
0.289027,0,0.234131,-1236,9.951
0.29172,0.897599,0.22408,-1301,10.088
0.292617,0,0.235846,-1252,9.864
