q [rad],qvel [rad/s],tau [Nm],i [mA],dt [ms]
-0.203755,0,-0.0852088,362,13.999
-0.203755,0,-0.0797368,362,3.144
-0.203755,0,-0.0883743,378,10.346
-0.203755,0,-0.0801966,345,10.244
-0.203755,0,-0.0839005,378,9.567
-0.203755,0,-0.0869972,329,9.075
-0.203755,0,-0.0795289,378,10.153
-0.203755,0,-0.090444,394,9.915
-0.203755,0,-0.0804185,426,10.366
-0.203755,0,-0.086891,313,9.889
-0.203755,0,-0.0897725,297,9.865
-0.203755,0,-0.0790822,329,9.973
-0.203755,0,-0.0894995,362,9.979
-0.203755,0,-0.0832445,297,9.854
-0.203755,0,-0.0867182,297,10.034
-0.203755,0,-0.0844241,329,9.958
-0.203755,0,-0.0683094,378,10.111
-0.203755,0,-0.0753653,362,9.909
-0.203755,0,-0.0603365,329,9.996
-0.203755,0,-0.0630194,362,10.16
-0.203755,0,-0.0642398,362,9.826
-0.203755,0,-0.0508661,362,10.175
-0.203755,0,-0.0606488,394,9.998
-0.203755,0,-0.0450362,329,9.918
-0.203755,0,-0.0457049,394,10.657
-0.203755,0,-0.0452785,362,9.399
-0.203755,0,-0.0371917,297,9.885
-0.202857,0,-0.0474306,378,10.026
-0.201062,0,-0.0357999,362,10.097
-0.197472,0,-0.0429795,362,9.972
-0.197472,0.897599,-0.0448481,329,10.05
-0.191189,0,-0.0339749,362,10.017
-0.191189,0.897599,-0.0359911,362,9.87
-0.186701,0,-0.0299929,200,9.906
-0.18311,0,-0.0353248,329,9.983
-0.178622,0,-0.0167182,168,9.997
-0.174134,0.897599,-0.0267062,329,10.236
-0.16067,0.897599,-0.0312242,329,9.908
-0.159773,0.897599,-0.0118889,297,10.103
-0.143616,0.897599,-0.0141848,200,10.289
-0.142718,0.897599,-0.0142838,104,9.755
-0.13464,0.897599,-0.00482864,136,9.673
-0.117585,0.897599,-0.0201524,39,10.518
-0.116688,0.897599,-0.0064448,71,9.521
-0.108609,0.897599,-0.0109316,23,10.013
-0.100531,0,-0.00463427,104,10.029
-0.0933503,0.897599,0.00261855,-25,9.965
-0.0861695,0.897599,-0.0106404,55,10.036
-0.0771935,0.897599,0.00781109,136,9.964
-0.0610367,0.897599,0.00661876,-25,10.32
-0.0592415,0.897599,0.0114817,-25,9.701
-0.0502655,0.897599,0.0155934,-57,9.985
-0.0341088,0.897599,0.00814671,-90,10.158
-0.0332112,0.897599,0.0194467,-106,9.997
-0.0197472,0.897599,0.0146992,-90,9.909
-0.0188496,0.897599,0.0228343,-122,9.942
-0.013464,0.897599,0.0176466,-235,10.188
-0.00807839,0.897599,0.0323158,-186,9.862
-0.0035904,0.897599,0.0387259,-186,9.997
0.00628319,0,0.03897,-122,10.517
0.0125664,0,0.0373913,-186,9.635
0.0125664,0.897599,0.0342837,-186,9.775
0.026928,0.897599,0.017443,-90,10.273
0.0278256,0,0.0371512,-90,9.813
0.035904,0,0.0370907,-267,9.932
0.0430847,0,0.0262294,-251,10.024
0.0538559,0.897599,0.0172981,-170,10.844
0.0547535,0,0.0304898,-186,9.339
0.0592415,0,0.0434356,-186,9.932
0.0628319,0.897599,0.0434743,-283,10.837
0.0673199,0.897599,0.0477957,-186,9.046
0.0718079,0,0.0486066,-251,9.869
0.0771935,0.897599,0.0537298,-364,10.207
0.0834767,0.897599,0.0439696,-315,10.005
0.0906575,0,0.0406613,-299,9.896
0.0960431,0.897599,0.0469123,-380,9.934
0.103224,0,0.0468698,-380,10.536
0.103224,0,0.044384,-283,9.761
0.104121,0,0.0507247,-412,9.82
0.105019,0,0.0416981,-299,10.076
0.105019,0,0.0366994,-315,10.03
0.105019,0,0.0523206,-267,9.906
0.105019,0,0.0404706,-251,9.981
0.105019,0,0.0450767,-315,10.012
0.105019,0,0.0439654,-364,10.076
0.105019,0,0.0421464,-267,10.002
0.105019,0,0.052299,-251,9.996
0.105019,0,0.043575,-364,9.881
0.105019,0,0.0545598,-315,10.243
0.105917,0,0.053665,-267,9.738
0.107712,0,0.052606,-315,10.21
0.114893,0.897599,0.0592864,-283,9.88
0.11579,0.897599,0.0574925,-219,9.902
0.120278,0,0.0608938,-283,10.272
0.124766,0,0.0647497,-412,9.976
0.129254,0,0.0695871,-396,9.877
0.133742,0,0.0565205,-331,10.483
0.13823,0.897599,0.0583816,-283,9.484
0.142718,0.897599,0.0579222,-331,9.938
0.148104,0,0.0595128,-331,10.089
0.151694,0,0.063205,-444,9.857
0.153489,0,0.0593406,-476,10.079
0.155285,0,0.0490627,-347,10.002
0.156182,0,0.0599004,-347,10.064
0.156182,0,0.0467208,-380,10.003
0.156182,0,0.0389087,-380,10.069
0.156182,0,0.0493343,-347,9.939
0.156182,0,0.040862,-364,9.927
0.156182,0,0.0441105,-347,10.084
0.156182,0,0.041366,-347,9.979
0.156182,0,0.0330046,-380,9.96
0.156182,0,0.0366005,-380,10.032
0.156182,0,0.0246834,-396,9.958
0.156182,0,0.0327988,-364,10.103
0.156182,0,0.0277856,-347,9.959
0.156182,0,0.0241176,-331,9.92
0.156182,0,0.03684,-412,11.095
0.156182,0,0.0288221,-396,8.875
0.156182,0,0.0390629,-347,10.056
0.156182,0,0.0369449,-315,9.969
0.156182,0,0.0327297,-347,9.975
0.156182,0,0.038765,-380,10.087
0.156182,0,0.0255313,-380,10.011
0.156182,0,0.0342098,-331,10.28
0.156182,0,0.0354405,-331,9.808
0.156182,0,0.0381266,-347,9.947
0.156182,0,0.0544609,-347,10.004
0.156182,0,0.0457988,-315,9.97
0.156182,0,0.0557705,-347,10.2
0.156182,0,0.0532263,-380,9.841
0.156182,0,0.0499652,-331,9.93
0.156182,0,0.0583303,-347,10.229
0.156182,0,0.0474913,-315,9.813
0.156182,0,0.0589189,-364,10.535
0.156182,0,0.0536988,-299,9.524
0.156182,0,0.0537801,-331,9.865
0.15708,0,0.0626743,-347,9.918
0.157977,0,0.0517967,-315,10.074
0.159773,0,0.0574504,-315,10.041
0.161568,0,0.0544974,-283,10.145
0.162465,0,0.0506381,-331,10.033
0.166056,0,0.0582231,-315,10.044
0.166056,0.897599,0.0492133,-331,9.799
0.167851,0,0.0591235,-331,10.118
0.167851,0,0.064052,-347,10.096
0.167851,0,0.0543807,-476,9.715
0.167851,0,0.0605504,-315,10.091
0.167851,0,0.0519956,-347,9.876
0.168749,0,0.0571419,-347,10.052
0.168749,0,0.0600547,-347,10.054
0.169646,0,0.0558422,-364,10.121
0.170544,0,0.0660547,-380,9.87
0.171441,0,0.059238,-347,9.868
0.173237,0.897599,0.0682456,-380,10.19
0.175032,0,0.0585315,-315,9.988
0.178622,0.897599,0.0708219,-364,9.745
0.181315,0.897599,0.0638377,-444,10.242
0.184008,0,0.0561393,-380,9.933
0.185803,0,0.0701825,-509,10.023
0.186701,0,0.0451202,-460,10.141
0.186701,0,0.0326252,-380,9.897
0.186701,0,0.0461015,-380,9.901
0.186701,0,0.0338464,-364,10.068
0.186701,0,0.0400217,-364,10.085
0.186701,0,0.0365119,-412,9.868
0.186701,0,0.0284714,-347,10.096
0.186701,0,0.0313583,-380,10.273
0.186701,0,0.0262194,-380,9.67
0.186701,0,0.0345626,-347,10.843
0.186701,0,0.0302595,-347,9.146
0.186701,0,0.0319781,-364,9.914
0.186701,0,0.0378241,-412,10.022
0.186701,0,0.024627,-364,10.043
0.186701,0,0.0285297,-315,10.098
0.186701,0,0.0314812,-396,10.036
0.186701,0,0.0250526,-347,9.941
0.186701,0,0.0377338,-412,9.986
0.186701,0,0.0274048,-380,10.054
0.186701,0,0.0371152,-396,9.882
0.186701,0,0.0343677,-412,9.996
0.186701,0,0.0329394,-364,10.005
0.186701,0,0.0408875,-396,10.047
0.186701,0,0.0302783,-364,9.977
0.186701,0,0.0379192,-396,9.978
0.186701,0,0.0345711,-412,10.096
0.186701,0,0.0311426,-380,9.892
0.186701,0,0.0420524,-396,10.098
0.186701,0,0.0330018,-364,9.913
0.186701,0,0.0409588,-380,10.101
0.186701,0,0.0425678,-364,9.994
0.186701,0,0.03633,-428,9.971
0.186701,0,0.0464053,-380,9.988
0.186701,0,0.0354939,-396,10.112
0.186701,0,0.0431994,-364,10.014
0.186701,0,0.0460571,-347,9.806
0.186701,0,0.044255,-412,10.074
0.186701,0,0.0519474,-412,9.94
0.186701,0,0.0419898,-364,10.034
0.186701,0,0.0477209,-347,10.014
0.186701,0,0.0430888,-364,9.944
0.186701,0,0.0433309,-364,10.217
0.186701,0,0.0520738,-380,10.072
