q [rad],qvel [rad/s],tau [Nm],i [mA],dt [ms]
-0.0933503,0,0.00257837,539,21.738
-0.0933503,0,0.00257837,539,0.117
-0.0933503,0,0.00227054,474,10.086
-0.0933503,0,-0.0836292,507,10.185
-0.0933503,0,-0.0165189,539,8.79
-0.0933503,0,-0.000842375,539,9.18
-0.0933503,0,-0.0662587,539,9.961
-0.0933503,0,0.00679647,539,10.193
-0.0933503,0,-0.0588543,539,9.507
-0.0933503,0,-0.0262761,539,10.426
-0.0933503,0,-0.00930123,571,9.649
-0.0933503,0,-0.0768143,571,10.25
-0.0933503,0,0.0100764,555,9.772
-0.0933503,0,-0.0744803,539,10.154
-0.0933503,0,-0.036935,539,9.752
-0.0933503,0,0.0058003,571,10.317
-0.0933503,0,-0.0612087,539,9.761
-0.0933503,0,0.0141666,539,10.246
-0.0933503,0,-0.0776964,571,10.164
-0.0933503,0,-0.0359016,539,9.822
-0.0933503,0,0.00879906,571,9.933
-0.0933503,0,-0.0591435,539,10.074
-0.0933503,0,0.0175908,571,9.806
-0.0924527,0,-0.0503529,571,10.228
-0.0924527,0,0.00600926,571,9.669
-0.0906575,0.897599,0.0234991,587,10.412
-0.0888623,0,-0.0393917,539,9.798
-0.0852719,0.897599,-0.0562081,539,9.961
-0.0798863,0.897599,-0.0316683,490,9.967
-0.0637295,0.897599,0.0549613,539,10.329
-0.0619343,1.7952,-0.00291643,410,9.506
-0.0376992,1.7952,-0.00291643,378,10.929
-0.0260304,1.7952,-0.00291643,184,8.998
-0.0125664,0.897599,0.0665846,-25,10.869
-0.00448799,0,0.0901318,-170,9.386
0.000897599,0,0.080236,-315,10.059
0.000897599,0.897599,0.0671094,-380,9.858
0.00448799,0.897599,0.146732,-219,9.943
0.00897599,0.897599,0.0861387,-267,9.959
0.013464,0,0.156885,-460,10.147
0.0278256,0.897599,0.142297,-444,9.976
0.0385968,0.897599,0.100561,-476,9.938
0.0511631,0.897599,0.100561,-331,10.164
0.0529583,0.897599,0.0625039,-525,9.784
0.0655247,0.897599,0.0913733,-621,10.06
0.0762959,0.897599,0.183375,-718,10.101
0.0852719,0.897599,0.137136,-783,9.749
0.0924527,0.897599,0.222779,-879,10.163
0.100531,0,0.215007,-944,11.025
0.100531,0.897599,0.210494,-976,9.094
0.102326,0,0.221643,-1008,9.831
0.103224,0,0.167626,-928,10.092
0.106814,0,0.238138,-1008,9.953
0.106814,0,0.138692,-911,10.126
0.114893,0.897599,0.233248,-847,10.249
0.122073,0.897599,0.206724,-847,9.803
0.122971,0.897599,0.170757,-815,10.385
0.131049,0.897599,0.245459,-944,9.464
0.140025,0.897599,0.15317,-1040,9.946
0.147206,0.897599,0.241196,-976,10.204
0.154387,0.897599,0.146394,-1024,9.837
0.159773,0,0.178921,-1105,10.18
0.162465,0,0.261807,-1137,9.984
0.162465,0,0.150262,-1218,10.102
0.162465,0,0.234691,-1105,12.613
0.162465,0,0.154113,-1105,8.254
0.162465,0,0.175263,-1105,8.918
0.162465,0,0.256578,-1040,9.938
0.163363,0,0.151128,-1008,10.1
0.163363,0.897599,0.229514,-976,10.159
0.167851,0,0.237578,-992,9.81
0.167851,0,0.192765,-960,9.992
0.171441,0,0.252125,-1024,9.942
0.175032,0,0.239586,-944,10.003
0.17952,0.897599,0.234992,-944,10.1
0.184905,0,0.213364,-911,10.029
0.189393,0,0.247148,-944,9.918
0.195677,0,0.245225,-1056,10.354
0.195677,0,0.131346,-960,9.637
0.195677,0,0.194891,-992,10.122
0.195677,0,0.17887,-976,9.836
0.195677,0,0.105935,-1008,10.09
0.194779,-0.897599,0.187535,-976,9.997
0.193881,0,0.0753231,-976,9.979
0.192086,0,0.156313,-960,10.226
0.189393,0,0.103248,-847,9.807
0.185803,0,0.124703,-928,9.845
0.18311,-0.897599,0.176272,-911,10.011
0.17952,0,0.0737369,-879,10.105
0.17952,0,0.142425,-847,10.142
0.17952,0,0.169914,-654,9.774
0.17952,0,0.0972434,-799,10.091
0.17952,0,0.170692,-783,9.93
0.17952,0,0.0843937,-750,10.606
0.17952,0,0.143918,-750,9.384
0.17952,0,0.165093,-783,10.163
0.17952,0,0.108573,-750,9.946
0.17952,0,0.19735,-783,9.915
0.17952,0,0.0905536,-718,10.066
0.17952,0,0.162026,-750,9.932
0.17952,0,0.178785,-718,10.064
0.17952,0,0.120098,-702,9.953
0.17952,0,0.187299,-718,9.958
0.17952,0,0.0907296,-686,10.221
0.17952,0,0.171988,-686,9.833
0.17952,0,0.173108,-702,10.051
0.17952,0,0.140085,-686,9.751
0.180417,0,0.190788,-621,10.126
0.180417,0,0.0878016,-654,10.038
0.180417,0,0.162609,-670,10.003
0.181315,0,0.172603,-637,10.066
