q [rad],qvel [rad/s],tau [Nm],i [mA],dt [ms]
-0.210038,0,-0.0345417,350,10.473
-0.210038,0,-0.115701,382,5.973
-0.210038,0,0.00446327,447,10.68
-0.210038,0,-0.106391,414,10.937
-0.210038,0,-0.0737216,414,10.214
-0.210038,0,0.00214947,366,7.827
-0.210038,0,-0.116693,398,9.614
-0.210038,0,-0.0377686,398,10.408
-0.210038,0,-0.0705682,447,9.657
-0.210038,0,-0.0943186,398,10.096
-0.210038,0,-0.00307966,398,10.39
-0.210038,0,-0.116323,463,9.702
-0.210038,0,-0.0319042,382,9.836
-0.210038,0,-0.0476838,286,10.13
-0.210038,0,-0.10155,414,9.78
-0.210038,0,0.00893814,382,10.08
-0.210038,0,-0.110721,447,10.082
-0.210038,0,-0.0311103,302,9.97
-0.210038,0,-0.0665289,398,10.302
-0.210038,0,-0.0930278,366,9.647
-0.210038,0,0.0142782,398,9.968
-0.210038,0,-0.101847,398,10.266
-0.210038,0,-0.0224874,398,9.804
-0.210038,0,-0.0338279,366,10.112
-0.209141,0,-0.0694624,398,10.067
-0.204653,0,0.00221141,382,10.085
-0.204653,0.897599,-0.0180504,414,9.591
-0.200165,0.897599,0.000812191,382,10.075
-0.192984,0.897599,-0.0291645,398,10.023
-0.175032,1.7952,0.00550259,269,10.15
-0.172339,1.7952,0.00550259,253,9.818
-0.158875,0.897599,-0.0153459,237,10.061
-0.142718,1.7952,0.0562369,76,9.933
-0.123869,1.7952,0.0204568,76,10.231
-0.102326,2.6928,0.0204568,173,9.894
-0.0798863,1.7952,0.021379,12,9.951
-0.0538559,2.6928,-0.0094283,-53,10.091
-0.0287232,2.6928,0.0156695,-214,9.833
-0.0035904,1.7952,-0.0363719,-85,10.046
0.0206448,1.7952,0.0595454,-311,10.085
0.0421871,1.7952,0.012611,-423,9.814
0.0619343,1.7952,-0.00640874,-407,10.079
0.0780911,0.897599,-0.00640874,-391,10.069
0.0996335,0.897599,4.21416e-05,-423,10.166
0.106814,0.897599,0.0497416,-520,9.838
0.107712,0.897599,0.105644,-440,10.493
0.113097,0.897599,0.00987947,-504,9.357
0.119381,0,0.105687,-504,10.83
0.119381,0,0.0532011,-472,9.377
0.122073,0.897599,0.0455806,-504,10.049
0.125664,0,0.0267576,-375,9.747
0.131049,0.897599,0.0551198,-359,10.092
0.137333,0.897599,0.128361,-520,10.021
0.152592,0.897599,0.0745931,-375,10.211
0.153489,0.897599,0.0795632,-488,9.674
0.171441,0.897599,0.0692344,-520,10.353
0.173237,0.897599,0.042152,-536,9.621
0.18311,0.897599,0.145606,-536,10.046
0.200165,0.897599,0.064029,-601,10.266
0.209141,0.897599,0.0918283,-633,10.142
0.210936,0.897599,0.139393,-633,9.619
0.225297,0.897599,0.0500707,-665,10.014
0.226195,0.897599,0.154132,-697,10.03
0.233376,0.897599,0.0806406,-665,10.017
0.238761,0,0.147998,-697,10.179
0.243249,0.897599,0.157189,-697,9.791
0.245942,0,0.0403944,-681,10.099
0.247737,0,0.146099,-569,10.346
0.248635,0,0.105563,-714,9.626
0.248635,0,0.0572943,-617,10.044
0.248635,0,0.16449,-617,9.876
0.249532,0,0.0429653,-601,10.07
0.251328,0,0.129754,-633,9.872
0.253123,0,0.0754684,-633,10.18
0.254918,0,0.109294,-601,9.831
0.258508,0,0.136952,-536,10.028
0.263894,0,0.0325118,-601,10.197
0.265689,0,0.12263,-633,10.038
0.265689,0,0.101431,-633,9.721
0.265689,0,0.0418048,-649,10.158
0.265689,0,0.127324,-601,9.909
0.265689,0,0.0217176,-601,10.042
0.265689,0,0.10375,-601,10.505
0.265689,0,0.0561649,-601,9.871
0.265689,0,0.043751,-633,10.405
0.265689,0,0.120189,-601,9.331
0.265689,0,0.000886646,-601,10.051
0.265689,0,0.0912173,-585,9.876
0.265689,0,0.0475757,-617,9.92
0.265689,0,0.0206149,-601,10.076
0.265689,0,0.111864,-601,9.924
0.265689,0,-0.0025676,-601,10.215
0.265689,0,0.0860546,-601,9.779
0.265689,0,0.0397081,-601,10.202
0.265689,0,0.0220276,-633,9.876
0.265689,0,0.114094,-601,10.054
0.265689,0,0.00419912,-633,10.058
0.265689,0,0.110774,-569,9.969
0.265689,0,0.0648954,-617,9.919
0.265689,0,0.0263155,-569,10.026
0.265689,0,0.11528,-601,9.955
0.265689,0,0.00554467,-601,9.975
0.265689,0,0.0914952,-552,9.964
0.265689,0,0.0406656,-552,16.643
0.265689,0,0.0328381,-601,3.405
0.265689,0,0.121836,-601,10.061
0.265689,0,0.00276571,-633,10.212
0.265689,0,0.101499,-601,9.878
0.265689,0,0.0510511,-617,9.852
0.265689,0,0.0269122,-617,9.986
0.265689,0,0.117049,-569,9.965
0.265689,0,0.00521703,-569,10.262
0.265689,0,0.109132,-585,9.933
0.265689,0,0.0585208,-601,9.981
0.265689,0,0.0264974,-601,9.826
0.265689,0,0.128275,-569,10.135
0.265689,0,0.00362572,-552,9.871
0.265689,0,0.103508,-552,10.067
0.265689,0,0.0488952,-552,9.929
0.265689,0,0.0258415,-617,10.507
0.265689,0,0.120293,-569,9.494
0.265689,0,0.00650185,-585,10.709
0.265689,0,0.102824,-585,9.341
0.265689,0,0.0585765,-569,9.886
0.265689,0,0.0335652,-585,10.061
0.265689,0,0.115512,-536,10.171
0.265689,0,0.0105673,-536,9.886
0.265689,0,0.11029,-585,10.06
0.265689,0,0.0484348,-536,10.205
0.265689,0,0.0343536,-536,9.895
0.265689,0,0.123106,-536,9.812
0.265689,0,0.0118924,-585,9.978
0.265689,0,0.100249,-536,9.989
0.265689,0,0.0627065,-569,10.032
0.265689,0,0.039839,-569,10.025
0.265689,0,0.124731,-601,9.99
0.265689,0,0.0154745,-585,10.028
0.265689,0,0.115734,-569,9.994
0.265689,0,0.0497164,-536,10.148
0.265689,0,0.0355296,-601,9.829
0.265689,0,0.123181,-536,10.01
0.265689,0,0.0156201,-569,10.025
0.265689,0,0.111701,-569,9.997
0.265689,0,0.0701029,-520,9.952
0.265689,0,0.0372078,-536,9.976
0.265689,0,0.123441,-536,9.933
0.265689,0,0.0145523,-536,10.065
0.265689,0,0.104869,-504,10.009
0.265689,0,0.0515438,-536,10.324
0.265689,0,0.0386535,-569,9.723
0.265689,0,0.12889,-569,10.038
0.265689,0,0.0087478,-552,10.286
0.265689,0,0.124633,-569,9.717
0.265689,0,0.0492598,-504,10.096
0.265689,0,0.0364603,-552,9.759
0.265689,0,0.130368,-569,10.091
0.265689,0,0.0138727,-569,10.495
0.265689,0,0.127079,-569,9.675
0.265689,0,0.071733,-585,9.781
0.265689,0,0.0468598,-536,10.172
0.265689,0,0.133621,-520,9.878
0.265689,0,0.0146097,-536,10.171
0.265689,0,0.1069,-569,9.836
0.265689,0,0.0759196,-536,10.019
0.265689,0,0.0422353,-504,9.943
0.265689,0,0.132899,-504,10.109
0.265689,0,0.0211915,-536,9.879
0.265689,0,0.119418,-472,10.061
0.265689,0,0.0501125,-520,10.016
0.265689,0,0.0381505,-536,10.091
0.265689,0,0.1212,-472,9.909
0.265689,0,0.0174581,-569,9.998
0.265689,0,0.116693,-552,9.918
0.265689,0,0.0780552,-536,10.042
0.265689,0,0.0409229,-569,9.876
0.265689,0,0.123383,-472,10.326
0.265689,0,0.0236045,-536,9.759
0.265689,0,0.122087,-488,10.042
0.265689,0,0.0583997,-536,10.01
