q [rad],qvel [rad/s],tau [Nm],i [mA],dt [ms]
-0.161568,0,-0.0128549,577,37.334
-0.161568,0,-0.0128549,577,0.118
-0.161568,0,-0.0128549,577,0.059
-0.161568,0,-0.00914849,577,2.31
-0.161568,0,-0.00904524,529,11.437
-0.161568,0.897599,-0.00928973,480,15.99
-0.161568,0,-0.007058,480,8.05
-0.16067,0,-0.0080044,513,7.252
-0.159773,0,-0.00977737,513,7.161
-0.159773,0,-0.00951437,480,10.256
-0.159773,0,-0.0131178,545,9.639
-0.159773,0,0.00404239,529,10.097
-0.157977,0.897599,0.0017769,513,9.973
-0.153489,0.897599,-0.0372218,545,10.047
-0.149001,0,-0.0328888,577,9.997
-0.148104,0,-0.0331969,480,10.045
-0.148104,0,-0.0529464,496,9.849
-0.148104,0,-0.0517395,513,10.178
-0.148104,0,-0.049473,432,9.869
-0.148104,0,-0.0400708,545,9.938
-0.148104,0,-0.0413425,464,10.242
-0.148104,0,-0.0424731,577,9.891
-0.148104,0,-0.0330514,593,9.945
-0.148104,0,-0.0332036,577,9.985
-0.148104,0,-0.0376167,561,9.986
-0.148104,0,-0.0349363,642,10.052
-0.148104,0,-0.0297174,658,10.02
-0.148104,0,-0.0213185,658,10.03
-0.148104,0.897599,-0.0161614,642,9.935
-0.147206,0.897599,-0.0232842,642,10.025
-0.144513,0,-0.0240523,642,10.161
-0.141821,0,-0.0250135,545,9.882
-0.140923,0,-0.0308328,545,9.99
-0.140025,0,-0.0360829,658,9.993
-0.140025,0,-0.0282493,642,9.946
-0.140025,0,-0.021517,674,10.178
-0.140025,0,-0.0205263,674,10.133
-0.13823,0,-0.0190396,658,9.762
-0.136435,0,-0.0168726,690,10.397
-0.133742,0,-0.0166898,642,9.782
-0.127459,0,-0.0180854,706,9.751
-0.114893,0.897599,-0.0159373,642,10.22
-0.106814,0.897599,-0.0153293,674,9.952
-0.105917,0,-0.00771772,577,9.755
-0.0987359,0,0.00758529,351,10.059
-0.0942479,0,0.00479124,206,10.012
-0.0924527,0,0.00545154,416,10.284
-0.0924527,0,-0.005877,271,9.798
-0.0924527,0,0.0014719,271,9.884
-0.0924527,0,0.0190095,384,10.192
-0.0924527,0.897599,0.0296016,400,9.882
-0.0915551,0,0.0341312,432,9.905
-0.0906575,0.897599,0.046584,351,9.995
-0.0825791,0.897599,0.0457406,174,10.288
-0.0816815,0.897599,0.0392686,384,9.688
-0.0727055,0.897599,0.0465104,287,10.22
-0.0637295,0.897599,0.0513845,239,9.81
-0.0439823,0.897599,0.0413277,190,10.314
-0.0412895,0.897599,0.0310004,45,9.752
-0.0341088,0.897599,0.0378462,13,10.293
-0.0305184,0,0.0259321,-132,9.688
-0.0323136,0,0.0858025,-84,10.099
-0.0350064,0,0.0451853,-245,9.978
-0.035904,0,0.0461079,-84,10.145
-0.035904,0,0.0888136,-35,9.667
-0.0341088,0.897599,0.0770315,-19,10.396
-0.0287232,0.897599,0.0622092,78,9.647
-0.0215424,0.897599,0.0701507,-3,10.311
-0.013464,0.897599,0.0775015,-35,9.64
-0.00628319,0.897599,0.0756198,-164,10.275
0,0,0.0750243,-100,9.831
0.0035904,0,0.0631641,-245,10.199
0.0035904,0,0.049091,-261,9.85
0.0035904,0,0.0444235,-164,10.31
0.0017952,0,0.0523541,-277,9.724
-0.000897599,-0.897599,0.0605798,-229,10.047
-0.0017952,0,0.0776901,-229,10.056
-0.0017952,0,0.0800937,-196,10.197
0,0,0.0737664,-3,9.987
0.0026928,0,0.0827518,-148,9.809
0.00538559,0.897599,0.0826098,-116,9.857
0.00897599,0.897599,0.0790058,-35,10.041
0.0125664,0.897599,0.0873211,-67,9.906
0.0152592,0,0.0927732,-277,10.278
0.0170544,0,0.103677,-229,9.792
0.0188496,0.897599,0.155665,-374,10.128
0.0215424,0,0.0250041,-196,9.787
0.0251328,0,0.139147,-196,10.101
0.0287232,0.897599,0.0554198,-309,9.899
0.031416,0,0.065198,-132,10.176
0.0341088,0.897599,0.176445,-132,9.79
0.0376992,0.897599,0.049082,-325,10.343
0.0439823,0.897599,0.139824,-261,9.594
0.0502655,0.897599,0.0890741,-277,10.208
0.0565487,0.897599,0.116238,-261,9.852
0.0655247,0.897599,0.178663,-422,10.166
0.0762959,1.7952,0.199232,-486,9.757
0.103224,1.7952,0.11195,-358,10.405
0.105917,1.7952,0.189117,-599,9.713
0.136435,1.7952,0.230745,-744,10.347
0.13823,0.897599,0.199513,-970,9.62
0.165158,0.897599,0.199513,-1002,10.248
0.166953,0.897599,0.259856,-1276,9.815
0.175929,0,0.221812,-1131,10.189
0.181315,0,0.188934,-1373,9.806
0.182213,0,0.230111,-1340,10.358
0.180417,0,0.207912,-1324,9.635
0.176827,0,0.246347,-1324,10.608
0.170544,-0.897599,0.179612,-1308,9.608
0.170544,0,0.161626,-1212,10.118
0.169646,0,0.256885,-1163,10.315
0.170544,0,0.162034,-970,9.582
0.175032,0,0.260147,-1067,10.618
0.175032,0.897599,0.210222,-1018,9.365
0.17952,0.897599,0.262913,-986,9.73
0.187598,0.897599,0.273363,-1034,10.405
0.187598,0,0.167238,-1067,9.732
0.192086,0,0.27684,-1131,10.161
0.195677,0,0.199345,-1163,9.769
0.198369,0.897599,0.198511,-1034,10.055
0.201062,0.897599,0.264386,-1034,9.882
0.203755,0,0.164434,-1067,10.172
0.20555,0,0.237409,-1163,9.888
0.206448,0,0.169612,-1163,10.187
0.206448,0,0.127114,-1099,9.754
0.20555,-0.897599,0.212158,-1034,10.413
0.203755,0,0.107599,-1067,9.576
0.202857,0,0.176558,-1083,10.244
0.20196,0,0.151963,-905,9.928
0.20196,0,0.174865,-986,10.117
0.20196,0,0.263634,-970,9.789
0.203755,0,0.143652,-938,10.197
0.20555,0,0.247929,-970,10.18
0.208243,0,0.180784,-905,9.72
0.214526,0,0.181459,-938,9.883
0.218117,0,0.239808,-938,10.315
0.218117,0,0.156193,-905,9.769
0.221707,0,0.252744,-970,10.027
0.225297,0.897599,0.147017,-1002,9.902
0.228888,0.897599,0.185061,-986,10.193
0.233376,0.897599,0.264711,-954,9.795
0.236069,0,0.158528,-1099,10.207
0.236966,0,0.217318,-1163,9.876
0.236966,0,0.157877,-1179,10.257
0.236966,0,0.153865,-1067,9.814
0.236966,0,0.234611,-1067,10.114
0.236966,0,0.149783,-1099,9.771
0.236966,0,0.256052,-1034,10.527
0.236966,0,0.202298,-1083,9.612
0.236966,0,0.192044,-1067,10.648
0.237864,0,0.276975,-1050,9.112
0.240556,0,0.164453,-1034,10.286
0.240556,0,0.259524,-970,9.718
0.242352,0,0.203558,-970,10.327
0.245044,0,0.18189,-986,9.784
0.24684,0,0.267966,-1034,10.319
0.247737,0,0.162403,-1002,9.542
0.248635,0,0.238108,-1034,10.246
0.25043,0,0.175724,-1018,9.872
0.251328,0,0.194167,-1018,9.955
0.25402,0,0.266033,-1018,9.962
0.256713,0.897599,0.166338,-1034,10.339
0.259406,0.897599,0.262479,-1067,9.845
0.265689,0,0.207576,-1002,10.251
0.265689,0,0.208849,-1163,9.983
0.265689,0,0.253112,-1195,9.88
0.265689,0,0.148217,-1099,9.784
0.265689,0,0.2552,-1083,10.246
0.265689,0,0.221554,-1083,9.677
0.266587,0,0.215045,-1050,10.276
0.267484,0,0.278131,-1067,9.714
0.268382,0,0.180643,-1018,10.301
0.271075,0,0.258496,-1034,9.945
0.27287,0,0.200852,-1050,10.178
0.273768,0,0.191968,-1018,9.639
0.274665,0,0.267664,-1067,10.405
0.275563,0,0.165382,-1067,9.581
0.27646,0.897599,0.271194,-1067,10.274
0.277358,0,0.19013,-1034,9.705
0.279153,0,0.225205,-1034,10.331
0.281846,0,0.275448,-1228,9.792
0.284539,0,0.163413,-1083,10.139
0.288129,0,0.266369,-1067,9.807
0.289924,0,0.208257,-1067,9.999
0.290822,0,0.208375,-1131,10.53
0.290822,0,0.268195,-1099,9.461
