q [rad],qvel [rad/s],tau [Nm],i [mA],dt [ms]
-0.0753983,0,-0.0279486,106,9.908
-0.0753983,0,-0.0329696,90,10.649
-0.0753983,0,-0.0314417,106,9.597
-0.0753983,0,-0.0345044,203,10.337
-0.0753983,0,-0.030627,106,9.506
-0.0753983,0,-0.0296888,106,10.171
-0.0753983,0,-0.0325445,90,9.816
-0.0753983,0,-0.0327434,90,10.031
-0.0753983,0,-0.0325513,106,10.076
-0.0753983,0,-0.0319881,122,9.893
-0.0753983,0,-0.0381737,106,10.005
-0.0753983,0,-0.0362211,106,10.386
-0.0753983,0,-0.0382664,106,9.716
-0.0753983,0,-0.0403725,106,9.982
-0.0753983,0,-0.0371689,106,9.917
-0.0753983,0,-0.0390536,90,10.037
-0.0753983,0,-0.0401957,122,10.068
-0.0753983,0,-0.0387254,74,10.052
-0.0753983,0,-0.0405144,187,9.904
-0.0753983,0,-0.0395268,106,9.94
-0.0753983,0,-0.0390959,90,10.036
-0.0753983,0,-0.0400787,106,10.034
-0.0753983,0,-0.0384019,106,10.027
-0.0753983,0,-0.0379738,106,9.886
-0.0753983,0,-0.0305709,122,10.134
-0.0753983,0,-0.0259275,106,10.089
-0.0753983,0,-0.0182122,74,9.846
-0.0753983,0,-0.0151022,106,9.954
-0.0753983,0,-0.00654748,74,10.09
-0.0736031,0.897599,0.000129828,171,9.914
-0.0700127,0,-0.00205723,58,9.962
-0.0574463,0.897599,0.0120382,58,10.162
-0.0466751,1.7952,0.0160256,42,9.905
-0.0332112,1.7952,0.0160256,90,9.86
-0.0161568,1.7952,0.0408492,-87,10.164
0.0017952,1.7952,0.0435854,-168,9.909
0.00628319,1.7952,0.0451231,-248,10.019
0.026928,2.6928,0.0451231,-248,9.966
0.0673199,1.7952,0.0451231,-313,10.155
0.0709103,2.6928,0.0462096,-377,9.81
0.113995,2.6928,0.0462096,-409,10.725
0.136435,2.6928,0.0672334,-458,9.322
0.141821,1.7952,0.0681449,-538,9.931
0.175929,1.7952,0.0917704,-635,10.198
0.192984,0.897599,0.0814581,-796,9.963
0.208243,0.897599,0.0807194,-635,9.783
0.219912,1.7952,0.0861499,-699,10.168
0.229785,0.897599,0.0750559,-603,9.914
0.236069,0,0.0996281,-667,10.068
0.236069,0,0.0942069,-828,10.011
0.238761,0,0.0726989,-716,10.081
0.239659,0,0.0508968,-603,9.913
0.239659,0,0.0538595,-603,10.108
0.239659,0,0.0581754,-603,9.993
0.239659,0,0.0555693,-635,9.979
0.239659,0,0.057537,-587,9.996
0.239659,0,0.0554678,-603,10.108
0.239659,0,0.0557731,-571,9.775
0.239659,0,0.0536556,-603,10.06
0.239659,0,0.0566687,-603,9.978
0.239659,0,0.0527834,-619,10.416
0.239659,0,0.0558421,-603,9.603
0.239659,0,0.0644161,-603,10.11
0.239659,0,0.063409,-603,9.914
0.239659,0,0.0657619,-603,9.959
0.239659,0,0.0650737,-603,10.201
0.239659,0,0.0699897,-571,9.821
0.239659,0,0.072861,-603,9.98
0.239659,0,0.0722463,-635,12.326
0.239659,0,0.0651922,-571,7.82
0.239659,0,0.0567863,-587,10.063
0.239659,0,0.0509963,-571,9.84
0.239659,0,0.0481448,-571,9.892
0.239659,0,0.0436327,-603,10.072
0.239659,0,0.0450153,-571,10.39
0.239659,0,0.0413199,-587,10.095
0.239659,0,0.0399574,-571,9.763
0.239659,0,0.0373145,-554,10.245
0.239659,0,0.0351645,-506,9.487
0.238761,0,0.0367915,-538,9.998
0.238761,0,0.0304827,-571,10.05
0.238761,0,0.0285791,-571,10.044
0.237864,-0.897599,0.0300589,-538,10.137
0.236069,0,0.0315527,-538,9.82
0.234273,0,0.0267914,-538,9.946
0.233376,-0.897599,0.0294652,-474,9.936
0.232478,0,0.034924,-538,10.048
0.231581,0,0.0270172,-571,10.092
0.231581,0,0.0354298,-458,9.961
0.231581,0,0.0333689,-538,9.961
0.231581,0,0.0308913,-506,10.034
0.231581,0,0.0295133,-538,10.004
0.231581,0,0.0326596,-554,10.065
0.231581,0,0.0324266,-522,9.968
0.231581,0,0.0357056,-522,9.964
0.231581,0,0.0336702,-538,10.121
0.231581,0,0.0346993,-554,9.994
0.231581,0,0.0329986,-506,9.835
0.231581,0,0.0312833,-490,10.052
0.231581,0,0.0332897,-538,9.965
0.231581,0,0.0297378,-538,10.046
0.231581,0,0.0315931,-506,9.947
0.231581,0,0.0342867,-538,10.111
0.231581,0,0.0321238,-538,9.895
0.231581,0,0.0352729,-538,10.112
0.231581,0,0.0346558,-571,9.884
0.231581,0,0.0407231,-538,10.369
0.231581,0,0.0404399,-538,9.631
0.231581,0,0.0375928,-538,9.97
0.231581,0,0.0384787,-538,10.249
0.231581,0,0.0388351,-538,9.858
0.231581,0,0.0402877,-490,9.983
0.231581,0,0.0395524,-538,10.502
0.231581,0,0.0349776,-506,9.617
0.231581,0,0.0386802,-506,9.939
0.231581,0,0.038367,-506,9.882
0.231581,0,0.0367639,-506,10.17
0.231581,0,0.0399525,-538,9.822
0.231581,0,0.0373705,-538,10.202
0.231581,0,0.039394,-538,9.813
0.231581,0,0.0367542,-538,10.136
0.231581,0,0.0373561,-538,9.862
0.231581,0,0.035607,-522,10.091
0.231581,0,0.0323273,-554,9.92
0.231581,0,0.035128,-554,10.063
0.231581,0,0.0337351,-474,9.921
0.231581,0,0.0340036,-554,10
0.231581,0,0.0362034,-554,10.004
0.231581,0,0.0338966,-522,10.229
0.231581,0,0.0366093,-538,9.774
0.231581,0,0.034528,-554,10.008
0.231581,0,0.033393,-490,10.035
0.231581,0,0.0333077,-522,10.049
0.231581,0,0.0328684,-538,9.9
0.231581,0,0.031575,-522,10.175
0.231581,0,0.0345476,-538,9.854
0.231581,0,0.0363695,-506,10.006
0.231581,0,0.0369429,-538,10.068
0.231581,0,0.0341893,-554,9.987
0.231581,0,0.0351106,-522,9.906
0.231581,0,0.0358094,-490,9.983
0.231581,0,0.0352443,-538,10.216
0.231581,0,0.0375216,-522,9.931
0.231581,0,0.0367961,-474,9.896
0.231581,0,0.0356849,-538,10.066
0.231581,0,0.0324943,-506,9.94
0.231581,0,0.0358774,-538,10.427
0.231581,0,0.0382734,-522,10.014
0.231581,0,0.037008,-554,9.619
0.231581,0,0.0357954,-522,10.531
0.231581,0,0.033707,-490,9.453
0.231581,0,0.0313472,-490,9.93
0.231581,0,0.0312698,-554,10.102
0.231581,0,0.0270244,-506,9.892
0.231581,0,0.0285939,-490,10.088
0.231581,0,0.0290821,-490,9.915
0.231581,0,0.0319474,-474,10.231
0.231581,0,0.0341491,-506,10.19
0.231581,0,0.0335553,-522,9.715
0.231581,0,0.0338812,-506,10.022
0.231581,0,0.0333322,-554,9.912
0.231581,0,0.0335153,-571,9.928
0.231581,0,0.0322789,-506,10.061
0.231581,0,0.028985,-538,9.905
0.231581,0,0.0305693,-506,10.155
0.231581,0,0.0293964,-506,9.894
0.231581,0,0.0325141,-522,10.235
0.231581,0,0.0324917,-538,9.755
0.231581,0,0.0309752,-538,12.629
0.231581,0,0.0340677,-538,7.583
0.231581,0,0.0333765,-506,10.046
0.231581,0,0.032212,-490,9.815
0.231581,0,0.0315723,-538,9.955
0.231581,0,0.027124,-506,10.061
0.231581,0,0.0308472,-506,10.131
0.231581,0,0.034459,-538,9.812
0.231581,0,0.0337762,-490,9.994
0.231581,0,0.0326752,-490,9.975
0.231581,0,0.0298621,-522,10.04
0.231581,0,0.0358613,-554,9.969
0.231581,0,0.0354632,-506,10.032
0.231581,0,0.0337088,-490,10.111
0.231581,0,0.0348974,-522,10.226
0.231581,0,0.0293948,-538,9.782
0.231581,0,0.0345568,-506,10.616
0.231581,0,0.0333654,-538,9.289
0.231581,0,0.0355162,-506,9.936
