,q [rad],qvel [rad/s],tau [Nm],i [mA],dt [ms]
0,-0.157977,0.0,-0.0366543,415,20.394
1,-0.157977,0.0,-0.0366543,415,0.118
2,-0.157977,0.0,-0.0337031,512,5.733
3,-0.157977,0.0,-0.0473134,432,11.313
4,-0.157977,0.0,-0.034718,415,8.074
5,-0.157977,0.0,-0.0416899,464,10.082
6,-0.157977,0.0,-0.0433211,415,13.527
7,-0.15708,0.0,-0.0368723,415,6.438
8,-0.15708,0.0,-0.0535853,432,10.015
9,-0.15708,0.0,-0.0443992,432,10.124
10,-0.15708,0.0,-0.0509911,464,10.088
11,-0.15708,0.0,-0.0510944,415,9.981
12,-0.15708,0.0,-0.0400079,432,9.795
13,-0.15708,0.0,-0.0518281,432,9.999
14,-0.15708,0.0,-0.0432389,319,10.104
15,-0.15708,0.0,-0.0483767,448,10.12
16,-0.15708,0.0,-0.0518361,432,9.782
17,-0.15708,0.0,-0.0406908,383,9.995
18,-0.15708,0.0,-0.0577853,383,10.126
19,-0.15708,0.0,-0.0456647,367,9.979
20,-0.15708,0.0,-0.0543417,448,10.258
21,-0.15708,0.0,-0.0558216,432,9.683
22,-0.15708,0.0,-0.0440986,367,9.976
23,-0.15708,0.0,-0.0561616,367,10.068
24,-0.15708,0.0,-0.0459771,399,9.988
25,-0.15708,0.0,-0.0481906,399,9.95
26,-0.15708,0.0,-0.0488441,351,10.063
27,-0.15708,0.0,-0.0487629,335,11.425
28,-0.15708,0.0,-0.0492212,415,8.515
29,-0.15708,0.0,-0.0405852,399,10.037
30,-0.15708,0.0,-0.0440213,448,10.041
31,-0.15708,0.0,-0.0402757,351,10.152
32,-0.15708,0.0,-0.0279366,335,9.766
33,-0.15708,0.0,-0.0357725,399,10.217
34,-0.15708,0.897599,-0.0229644,415,10.06
35,-0.156182,0.0,-0.0316038,335,9.913
36,-0.155285,0.897599,-0.0222957,319,10.45
37,-0.153489,0.897599,-0.017828,351,9.566
38,-0.151694,0.0,-0.0246883,399,9.725
39,-0.149001,0.897599,-0.00866639,383,10.095
40,-0.147206,0.0,-0.0223414,303,10.034
41,-0.144513,0.897599,-0.0155989,335,9.88
42,-0.140923,0.897599,-0.0178553,158,9.97
43,-0.137333,0.897599,-0.0174904,319,10.054
44,-0.132845,0.897599,-0.000974699,303,9.849
45,-0.128357,0.0,-0.00590346,93,10.301
46,-0.123869,0.897599,0.0019085,174,9.814
47,-0.119381,0.897599,1.30024e-05,29,10.041
48,-0.114893,0.0,0.0108543,174,10.062
49,-0.110405,0.897599,0.015839,-4,9.906
50,-0.105019,0.897599,0.0235265,-52,9.987
51,-0.0987359,0.897599,0.0338965,-4,10.139
52,-0.0915551,0.897599,0.0454631,-116,9.915
53,-0.0843743,0.897599,0.0407183,-181,9.967
54,-0.0771935,0.0,0.0606163,-245,10.184
55,-0.0637295,0.897599,0.0538938,-277,10.125
56,-0.0637295,0.897599,0.0621773,-374,9.838
57,-0.0574463,0.0,0.0831141,-374,9.864
58,-0.0493679,0.0,0.0787458,-487,10.075
59,-0.0493679,0.897599,0.0894767,-567,9.965
60,-0.0466751,0.0,0.0936662,-567,9.964
61,-0.0439823,0.0,0.100191,-567,10.235
62,-0.0394943,0.0,0.10764,-664,9.95
63,-0.0394943,0.897599,0.0970133,-567,9.867
64,-0.0368016,0.0,0.113094,-600,9.982
65,-0.0332112,0.897599,0.107343,-664,10.03
66,-0.0287232,0.0,0.109722,-696,9.851
67,-0.0188496,0.0,0.116619,-632,10.108
68,-0.0188496,0.897599,0.105122,-696,10.079
69,-0.00897599,0.0,0.11196,-696,10.05
70,-0.00897599,0.0,0.124513,-793,9.949
71,-0.00538559,0.0,0.124289,-825,10.334
72,-0.0026928,0.0,0.134746,-858,9.62
73,-0.0017952,0.0,0.125791,-825,10.525
74,0.0,0.0,0.140818,-809,9.496
75,0.0,0.0,0.136942,-825,9.983
76,0.000897599,0.0,0.140375,-825,10.151
77,0.0017952,0.0,0.14454,-841,10.054
78,0.00448799,0.0,0.131799,-793,9.944
79,0.00718079,0.0,0.142552,-825,9.828
80,0.0107712,0.897599,0.130525,-761,9.91
81,0.0152592,0.897599,0.132563,-809,10.23
82,0.0242352,0.0,0.126763,-809,9.967
83,0.0242352,0.897599,0.14047,-858,9.981
84,0.0278256,0.0,0.148814,-938,9.909
85,0.031416,0.0,0.140658,-954,9.945
86,0.0332112,0.0,0.147601,-986,10.022
87,0.0350064,0.897599,0.155166,-922,10.253
88,0.0368016,0.0,0.143552,-938,10.093
89,0.0376992,0.0,0.159764,-954,9.724
90,0.0394943,0.0,0.154327,-1019,10.008
91,0.0412895,0.0,0.151784,-954,9.985
92,0.0466751,0.0,0.158199,-954,10.129
93,0.0466751,0.0,0.147514,-954,9.774
94,0.0502655,0.897599,0.160812,-954,10.038
95,0.0583439,0.0,0.148559,-954,10.029
96,0.0583439,0.897599,0.157102,-954,9.907
97,0.0628319,0.897599,0.170178,-1019,10.176
98,0.0655247,0.0,0.158269,-1003,10.225
99,0.0691151,0.0,0.172622,-1083,9.716
100,0.0709103,0.0,0.162597,-1148,10.005
101,0.0727055,0.0,0.163113,-1035,9.919
102,0.0753983,0.0,0.17619,-1067,10.058
103,0.0771935,0.0,0.164151,-1083,10.064
104,0.0798863,0.0,0.176579,-1051,9.915
105,0.0825791,0.0,0.168897,-1051,10.034
106,0.0879647,0.0,0.173749,-1035,10.416
107,0.0879647,0.897599,0.174703,-1099,9.824
108,0.0906575,0.897599,0.171656,-1083,10.257
109,0.0942479,0.0,0.185037,-1083,9.926
110,0.0960431,0.0,0.175773,-1083,9.432
111,0.0969407,0.0,0.177686,-1148,10.3
112,0.0978383,0.0,0.184416,-1131,9.905
113,0.0987359,0.0,0.170823,-1051,10.191
114,0.100531,0.0,0.18395,-1083,9.612
115,0.101429,0.0,0.175203,-1051,10.318
116,0.104121,0.897599,0.175245,-1019,9.776
117,0.105917,0.897599,0.176534,-1083,10.016
118,0.108609,0.897599,0.170576,-1035,9.96
119,0.113995,0.0,0.183766,-1067,9.953
120,0.113995,0.0,0.175742,-1099,10.028
121,0.116688,0.0,0.175957,-1131,10.015
122,0.118483,0.0,0.178781,-1083,10.016
123,0.120278,0.0,0.164141,-1051,9.983
124,0.122971,0.0,0.178168,-1051,10.089
125,0.124766,0.0,0.168515,-986,10.165
126,0.127459,0.0,0.169988,-1115,9.773
127,0.129254,0.897599,0.17364,-1115,13.024
128,0.131947,0.897599,0.166888,-1115,7.044
129,0.132845,0.0,0.179583,-1067,10.155
130,0.133742,0.0,0.175425,-1148,9.74
131,0.13464,0.0,0.17205,-922,10.159
132,0.13464,0.0,0.175115,-1083,10.023
133,0.135537,0.0,0.164781,-1099,10.097
134,0.136435,0.0,0.173354,-1067,10.096
135,0.137333,0.0,0.162215,-1051,9.789
136,0.139128,0.0,0.163146,-1019,9.941
137,0.141821,0.0,0.167972,-986,10.007
138,0.144513,0.897599,0.158271,-986,9.886
139,0.148104,0.0,0.16947,-1019,10.34
140,0.153489,0.0,0.166873,-1067,9.708
141,0.153489,0.0,0.158871,-1051,10.165
142,0.155285,0.0,0.172773,-1019,10.026
143,0.158875,0.897599,0.158262,-1051,10.534
144,0.158875,0.0,0.169727,-1035,9.267
145,0.158875,0.0,0.167276,-1083,10.743
146,0.159773,0.0,0.162964,-1115,9.272
147,0.159773,0.0,0.171027,-1035,10.168
148,0.159773,0.0,0.156396,-1035,9.84
149,0.159773,0.0,0.164035,-1051,10.066
150,0.159773,0.0,0.161823,-1051,9.929
151,0.16067,0.0,0.155119,-954,10.06
152,0.16067,0.0,0.163164,-954,9.879
153,0.161568,0.0,0.148022,-954,10.081
154,0.162465,0.0,0.160517,-938,10.123
155,0.164261,0.0,0.150736,-922,9.915
156,0.165158,0.897599,0.15118,-954,10.116
157,0.166953,0.0,0.157659,-970,10.077
158,0.167851,0.897599,0.146596,-938,9.859
159,0.170544,0.0,0.152133,-954,9.978
160,0.170544,0.0,0.149588,-890,9.995
161,0.170544,0.0,0.143395,-986,10.047
162,0.170544,0.0,0.146187,-922,9.858
163,0.170544,0.0,0.131412,-906,10.165
164,0.170544,0.0,0.138945,-874,9.841
165,0.170544,0.0,0.132825,-890,10.216
166,0.170544,0.0,0.130594,-825,9.873
167,0.170544,0.0,0.142468,-858,10.056
168,0.170544,0.0,0.126818,-841,10.233
169,0.170544,0.0,0.136146,-809,9.65
