,q [rad],qvel [rad/s],tau [Nm],i [mA],dt [ms]
0,-0.0870671,0.0,-0.0522944,345,12.909
1,-0.0870671,0.0,-0.0616331,362,1.895
2,-0.0870671,0.0,-0.0652585,394,9.34
3,-0.0870671,0.0,-0.0562149,426,9.998
4,-0.0870671,0.0,-0.0550809,362,11.702
5,-0.0870671,0.0,-0.064378,345,8.259
6,-0.0870671,0.0,-0.0513854,362,10.147
7,-0.0870671,0.0,-0.0639034,362,9.945
8,-0.0870671,0.0,-0.0621414,345,9.877
9,-0.0870671,0.0,-0.0583132,297,10.21
10,-0.0870671,0.0,-0.0667619,313,9.831
11,-0.0870671,0.0,-0.0560476,265,10.013
12,-0.0870671,0.0,-0.0664976,329,9.964
13,-0.0870671,0.0,-0.0614277,329,10.365
14,-0.0870671,0.0,-0.0590227,184,9.54
15,-0.0870671,0.0,-0.0689368,184,10.126
16,-0.0870671,0.0,-0.056745,233,10.532
17,-0.0870671,0.0,-0.0665287,297,9.654
18,-0.0870671,0.0,-0.0612025,120,9.741
19,-0.0870671,0.0,-0.0559851,136,10.167
20,-0.0870671,0.0,-0.0634119,233,9.908
21,-0.0870671,0.0,-0.0520871,217,11.192
22,-0.0879647,0.0,-0.0592818,120,8.761
23,-0.0879647,0.0,-0.0524701,200,10.065
24,-0.0888623,0.0,-0.04475,88,10.119
25,-0.0888623,0.0,-0.0540445,71,9.835
26,-0.0888623,0.0,-0.0356875,152,9.968
27,-0.0888623,0.0,-0.0413004,88,10.125
28,-0.0888623,0.0,-0.0348198,152,9.966
29,-0.0888623,0.0,-0.0244426,55,10.323
30,-0.0888623,0.0,-0.0300617,200,9.981
31,-0.0888623,0.0,-0.012106,184,9.723
32,-0.0888623,0.0,-0.0142527,55,10.079
33,-0.0888623,0.0,-0.00949378,71,9.841
34,-0.0888623,0.0,-0.00220253,55,10.033
35,-0.0879647,0.0,-0.00134351,168,10.064
36,-0.0861695,0.0,0.0113399,71,9.919
37,-0.0834767,0.0,-0.00267001,120,10.156
38,-0.0798863,0.897599,0.00762028,136,9.735
39,-0.0753983,0.897599,-0.00313153,104,10.066
40,-0.0664223,0.0,0.00877223,23,10.078
41,-0.0664223,0.0,0.0244964,7,10.048
42,-0.0619343,0.897599,0.0191844,-41,9.748
43,-0.0583439,0.897599,0.0272449,-57,10.128
44,-0.0538559,0.897599,0.0356886,-57,9.981
45,-0.0475727,0.0,0.0332791,-138,10.094
46,-0.0475727,0.0,0.0506605,-267,9.996
47,-0.0439823,0.0,0.0432075,-235,10.03
48,-0.040392,0.897599,0.0478467,-235,9.841
49,-0.0350064,0.897599,0.0478467,-170,12.359
50,-0.0278256,0.897599,0.0473194,-154,7.816
51,-0.0152592,0.897599,0.0673506,-219,10.089
52,-0.0143616,0.897599,0.0641189,-380,9.82
53,-0.00628319,0.897599,0.0747817,-331,9.924
54,0.000897599,0.0,0.0801659,-541,10.452
55,0.0143616,0.0,0.0768991,-525,9.717
56,0.0152592,0.897599,0.0919627,-573,9.918
57,0.026928,0.897599,0.0971744,-541,10.208
58,0.0278256,0.897599,0.112575,-621,9.732
59,0.0394943,0.897599,0.127031,-589,10.212
60,0.0394943,0.897599,0.121484,-799,9.749
61,0.0538559,0.897599,0.137144,-734,10.127
62,0.0619343,0.897599,0.128602,-766,9.823
