,q [rad],qvel [rad/s],tau [Nm],i [mA],dt [ms]
0,-0.209141,0.0,-0.0882908,289,18.485
1,-0.209141,0.0,-0.0882908,289,0.112
2,-0.209141,0.0,-0.119148,321,6.968
3,-0.209141,0.0,-0.00559015,305,10.411
4,-0.209141,0.0,-0.0989249,305,9.526
5,-0.209141,0.0,-0.0881913,289,10.057
6,-0.209141,0.0,-0.00282708,386,10.034
7,-0.209141,0.0,-0.150931,305,10.1
8,-0.209141,0.0,-0.016929,305,9.984
9,-0.209141,0.0,-0.0816142,225,9.881
10,-0.209141,0.0,-0.085688,208,10.076
11,-0.209141,0.0,-0.00203507,273,9.987
12,-0.209141,0.0,-0.13465,192,9.894
13,-0.209141,0.0,-0.00577855,305,10.073
14,-0.209141,0.0,-0.100322,321,9.894
15,-0.209141,0.0,-0.0770108,321,10.231
16,-0.209141,0.0,0.0214394,305,9.783
17,-0.209141,0.0,-0.136798,257,10.8
18,-0.209141,0.0,0.0257837,241,9.32
19,-0.209141,0.0,-0.0723587,289,10.904
20,-0.209141,0.0,-0.0202401,257,9.056
21,-0.209141,0.0,0.0159122,176,9.885
22,-0.207345,0.0,-0.0960072,128,10.143
23,-0.203755,0.897599,0.0543081,112,10.07
24,-0.199267,0.0,-0.0250081,176,9.819
25,-0.193881,0.897599,0.013527,96,9.98
26,-0.182213,0.897599,0.0520951,31,10.014
27,-0.175929,0.897599,-0.0600013,144,10.099
28,-0.175032,0.897599,-0.0528476,-49,9.864
29,-0.162465,0.897599,-0.00616217,-114,10.233
30,-0.154387,0.897599,0.0838548,-243,9.852
31,-0.151694,0.897599,0.0080768,-162,9.982
32,-0.128357,1.7952,0.090727,-339,10.226
33,-0.124766,1.7952,0.157194,-259,9.888
34,-0.104121,2.6928,0.103635,-452,9.855
35,-0.0843743,2.6928,0.124751,-710,10.074
36,-0.0628319,1.7952,0.124751,-662,9.921
37,-0.0394943,1.7952,0.124751,-936,9.959
38,-0.000897599,1.7952,0.242784,-1064,10.12
39,0.000897599,0.897599,0.109488,-1242,9.993
40,0.0170544,0.897599,0.168488,-1435,10.074
41,0.0278256,0.897599,0.262195,-1790,9.848
42,0.0332112,0.897599,0.183247,-1757,10.019
43,0.035904,0.0,0.321952,-1886,10.059
44,0.035904,0.0,0.23506,-1951,10.335
45,0.035904,0.897599,0.257036,-1951,9.92
46,0.0368016,0.0,0.306601,-1870,9.787
47,0.0394943,0.897599,0.314507,-1822,9.832
48,0.0457775,1.7952,0.347061,-1854,10.055
49,0.0673199,1.7952,0.347061,-1725,10.098
50,0.0843743,1.7952,0.36148,-1725,9.886
51,0.101429,1.7952,0.343158,-1790,10.203
52,0.117585,0.897599,0.199299,-1951,10.408
53,0.131049,1.7952,0.199299,-2047,9.692
54,0.140923,0.897599,0.228155,-2176,9.598
55,0.141821,0.0,0.336383,-2225,15.917
56,0.148104,0.0,0.282979,-2370,4.623
57,0.150797,0.897599,0.269698,-2386,9.847
58,0.150797,0.0,0.39792,-2241,9.814
59,0.152592,0.0,0.288969,-2273,10.005
60,0.159773,0.897599,0.343989,-2289,9.957
61,0.159773,0.897599,0.375411,-2144,10.023
62,0.167851,0.897599,0.259826,-2112,10.09
63,0.18311,0.897599,0.36446,-2160,10.129
64,0.184905,0.897599,0.270961,-2080,9.657
65,0.192984,0.0,0.364896,-2144,10.138
66,0.200165,0.0,0.244086,-2241,9.919
67,0.20555,0.897599,0.223152,-2176,10.116
68,0.208243,0.0,0.376348,-2144,9.922
69,0.209141,0.0,0.268249,-2192,10.308
70,0.209141,0.0,0.264414,-2241,9.712
71,0.209141,0.0,0.366345,-2144,10.504
72,0.210038,0.897599,0.239638,-2128,9.583
73,0.210936,0.897599,0.364202,-2047,9.986
74,0.212731,0.0,0.237602,-1983,9.861
75,0.218117,0.0,0.26635,-2015,10.229
76,0.218117,0.897599,0.343502,-1935,9.867
77,0.220809,0.0,0.202613,-1854,9.943
78,0.222605,0.0,0.310846,-1854,9.999
79,0.223502,0.0,0.207072,-1870,10.045
80,0.223502,0.0,0.206885,-1790,9.999
81,0.223502,0.0,0.309014,-1725,9.981
82,0.223502,0.0,0.154413,-1709,10.159
83,0.223502,0.0,0.288973,-1677,10.11
84,0.223502,0.0,0.205993,-1645,9.709
85,0.223502,0.0,0.191787,-1596,10.569
86,0.223502,0.0,0.259694,-1500,9.856
87,0.223502,0.0,0.112816,-1467,9.836
88,0.223502,0.0,0.218982,-1451,9.822
89,0.223502,0.0,0.146167,-1403,9.928
90,0.223502,0.0,0.127627,-1403,10.001
91,0.223502,0.0,0.217428,-1338,10.006
92,0.223502,0.0,0.0725376,-1355,9.992
93,0.223502,0.0,0.217274,-1290,10.231
94,0.223502,0.0,0.125961,-1274,9.797
95,0.223502,0.0,0.124187,-1210,10.114
96,0.223502,0.0,0.193157,-1193,10.054
97,0.223502,0.0,0.049627,-1193,9.836
98,0.223502,0.0,0.185364,-1145,10.015
99,0.223502,0.0,0.100198,-1129,10.026
100,0.223502,0.0,0.101438,-1097,10.319
101,0.223502,0.0,0.1958,-1081,9.716
102,0.223502,0.0,0.0410213,-1048,10.046
103,0.223502,0.0,0.165367,-1048,9.973
104,0.223502,0.0,0.0993891,-1016,9.883
105,0.223502,0.0,0.0934272,-1048,10.096
106,0.223502,0.0,0.186513,-952,10.058
107,0.223502,0.0,0.0448534,-968,9.852
108,0.223502,0.0,0.190218,-968,10.054
109,0.223502,0.0,0.0912117,-919,10.01
110,0.223502,0.0,0.0771942,-871,10.006
111,0.223502,0.0,0.160596,-903,10.283
112,0.223502,0.0,0.0359473,-839,9.674
113,0.223502,0.0,0.169703,-855,10.158
114,0.223502,0.0,0.0964283,-791,9.802
115,0.223502,0.0,0.0734832,-791,10.001
116,0.223502,0.0,0.17295,-791,9.919
117,0.223502,0.0,0.0415111,-807,10.078
118,0.223502,0.0,0.178504,-758,10.108
119,0.223502,0.0,0.0892179,-758,10.027
120,0.223502,0.0,0.0545895,-726,10.382
121,0.223502,0.0,0.156958,-678,9.625
122,0.223502,0.0,0.0200735,-678,9.847
123,0.223502,0.0,0.166188,-629,10.285
124,0.223502,0.0,0.0822852,-646,9.717
125,0.223502,0.0,0.0485267,-646,10.318
126,0.223502,0.0,0.149111,-678,9.847
127,0.223502,0.0,0.0198407,-581,9.845
128,0.223502,0.0,0.156521,-629,10.312
129,0.223502,0.0,0.0439979,-484,10.044
130,0.223502,0.0,0.0313928,-629,9.64
131,0.223502,0.0,0.146147,-533,10.11
132,0.223502,0.0,-0.0114959,-484,10.3
133,0.223502,0.0,0.140458,-517,9.757
134,0.223502,0.0,0.0668097,-565,9.91
135,0.223502,0.0,0.0470828,-501,9.981
136,0.223502,0.0,0.155239,-501,10.12
137,0.223502,0.0,0.0150155,-533,9.815
138,0.2244,0.0,0.126426,-533,9.938
139,0.2244,0.0,0.0633242,-452,10.169
140,0.2244,0.0,0.0533726,-484,9.914
141,0.2244,0.0,0.144237,-404,9.978
142,0.2244,0.0,-0.016733,-501,10.005
143,0.2244,0.0,0.109097,-517,10.026
144,0.2244,0.0,0.0437294,-356,9.976
145,0.2244,0.0,0.0224425,-388,10.026
146,0.2244,0.0,0.140386,-436,9.963
147,0.2244,0.0,-0.00606893,-436,10.292
148,0.2244,0.0,0.105437,-404,9.828
149,0.2244,0.0,0.0335914,-307,9.927
150,0.2244,0.0,0.0304065,-404,10.37
151,0.2244,0.0,0.0947848,-388,9.725
152,0.2244,0.0,-0.0306735,-339,9.832
153,0.2244,0.0,0.118102,-339,10.187
154,0.2244,0.0,0.0362106,-339,9.849
155,0.2244,0.0,0.00784994,-452,10.384
156,0.2244,0.0,0.13357,-339,9.822
157,0.2244,0.0,-0.0156789,-307,10.541
158,0.2244,0.0,0.107704,-388,9.275
159,0.2244,0.0,0.0296845,-323,10.084
160,0.2244,0.0,-0.00660243,-436,9.973
161,0.2244,0.0,0.100522,-388,10.043
162,0.2244,0.0,-0.0606598,-259,10.295
163,0.2244,0.0,0.0724449,-339,9.64
164,0.2244,0.0,0.0258013,-307,10.0
165,0.2244,0.0,-0.0120239,-291,10.126
166,0.2244,0.0,0.102886,-307,10.003
167,0.2244,0.0,-0.0519192,-291,9.967
168,0.2244,0.0,0.0667009,-243,9.826
169,0.2244,0.0,0.0103318,-275,10.025
