,q [rad],qvel [rad/s],tau [Nm],i [mA],dt [ms]
0,-0.11579,0.0,-0.0824083,603,18.541
1,-0.11579,0.0,-0.0824083,603,0.114
2,-0.11579,0.0,-0.0813365,603,3.553
3,-0.11579,0.0,-0.0814377,619,10.361
4,-0.11579,0.0,-0.0817696,652,10.037
5,-0.11579,0.0,-0.0815016,587,9.655
6,-0.11579,0.0,-0.0825076,619,10.385
7,-0.11579,0.0,-0.0814466,619,9.435
8,-0.11579,0.0,-0.0792812,635,10.414
9,-0.11579,0.0,-0.075141,587,9.843
10,-0.11579,0.0,-0.0777364,587,9.819
11,-0.11579,0.0,-0.0784907,555,9.989
12,-0.11579,0.0,-0.0754273,587,9.979
13,-0.11579,0.0,-0.0803872,539,10.037
14,-0.11579,0.0,-0.0802705,555,9.931
15,-0.11579,0.0,-0.0806467,523,10.2
16,-0.11579,0.0,-0.0833167,523,9.861
17,-0.11579,0.0,-0.0829139,490,10.015
18,-0.11579,0.0,-0.0831753,523,10.118
19,-0.11579,0.0,-0.0801328,490,10.081
20,-0.11579,0.0,-0.0793302,507,9.904
21,-0.11579,0.0,-0.0781041,490,9.985
22,-0.11579,0.0,-0.0749756,490,9.834
23,-0.11579,0.0,-0.0788079,458,10.348
24,-0.11579,0.0,-0.0777721,474,9.684
25,-0.11579,0.0,-0.0771708,458,10.146
26,-0.11579,0.0,-0.080665,426,9.748
27,-0.11579,0.0,-0.0810861,442,10.113
28,-0.11579,0.0,-0.081632,442,10.01
29,-0.11579,0.0,-0.0767547,394,10.238
30,-0.11579,0.0,-0.0750056,426,9.75
31,-0.11579,0.0,-0.0717645,394,9.997
32,-0.11579,0.0,-0.0684913,426,10.049
33,-0.11579,0.0,-0.0654785,394,10.105
34,-0.11579,0.0,-0.0584016,426,9.805
35,-0.11579,0.0,-0.0514699,394,10.051
36,-0.11579,0.0,-0.048436,394,9.961
37,-0.11579,0.0,-0.0416552,345,9.954
38,-0.114893,0.897599,-0.0371065,426,10.095
39,-0.109507,0.0,-0.0298366,394,10.144
40,-0.109507,0.897599,-0.027785,394,9.829
41,-0.104121,0.897599,-0.015946,378,10.441
42,-0.0852719,0.897599,-0.0138121,329,9.556
43,-0.0834767,0.897599,-0.00836701,265,12.42
44,-0.0556511,1.7952,-0.00701827,233,7.957
45,-0.0511631,1.7952,-0.00844491,71,9.754
46,-0.0350064,1.7952,0.0357166,39,9.748
47,-0.0035904,0.897599,0.0455821,-235,10.127
48,-0.0017952,1.7952,0.039701,-267,9.849
49,0.0215424,1.7952,0.0631664,-412,10.403
50,0.0305184,0.897599,0.0959113,-734,9.75
51,0.031416,0.0,0.117223,-718,9.988
52,0.035904,0.0,0.129348,-992,10.034
53,0.0368016,0.0,0.120211,-960,9.98
54,0.0368016,0.0,0.123272,-863,10.02
55,0.0368016,0.0,0.137148,-863,10.13
56,0.0368016,0.0,0.137464,-895,9.742
57,0.0394943,0.897599,0.136076,-815,10.026
58,0.0439823,0.897599,0.136671,-734,10.126
59,0.0619343,1.7952,0.14296,-734,10.024
60,0.0753983,1.7952,0.14296,-815,9.805
61,0.0906575,1.7952,0.158249,-734,10.117
62,0.0942479,1.7952,0.15677,-976,9.949
63,0.121176,0.897599,0.166048,-1040,10.164
64,0.123869,1.7952,0.166048,-1218,9.76
65,0.140025,0.897599,0.166048,-1218,10.011
66,0.149001,0.897599,0.172423,-1314,10.127
67,0.158875,0.897599,0.201617,-1379,10.052
68,0.165158,0.897599,0.210451,-1475,9.801
69,0.168749,0.897599,0.221757,-1572,10.073
70,0.170544,0.0,0.213897,-1604,10.071
71,0.170544,0.0,0.211496,-1620,10.184
72,0.170544,0.0,0.223506,-1572,10.345
73,0.170544,0.0,0.225514,-1491,9.92
74,0.170544,0.897599,0.223473,-1427,9.488
75,0.172339,0.0,0.221315,-1395,10.117
76,0.175929,0.0,0.220109,-1363,10.043
77,0.181315,0.897599,0.215539,-1346,10.193
78,0.196574,0.897599,0.206107,-1282,9.571
79,0.197472,0.897599,0.20957,-1218,10.231
80,0.208243,0.897599,0.213144,-1282,9.989
81,0.218117,0.897599,0.204685,-1459,10.141
82,0.22799,0.0,0.210067,-1395,9.692
83,0.236069,0.897599,0.212286,-1459,10.274
84,0.242352,0.0,0.213937,-1508,9.678
85,0.247737,0.0,0.223652,-1475,10.17
86,0.25043,0.0,0.220543,-1669,10.071
