,q [rad],qvel [rad/s],tau [Nm],i [mA],dt [ms]
0,-0.125664,0.0,0.0283625,192,9.047
1,-0.125664,0.0,-0.0464041,176,9.086
2,-0.125664,0.0,0.0388162,176,9.684
3,-0.125664,0.0,-0.037403,128,9.899
4,-0.125664,0.0,-0.0288279,96,9.664
5,-0.125664,0.0,0.0455743,128,9.896
6,-0.125664,0.0,-0.0330427,192,10.391
7,-0.125664,0.0,0.0357151,241,10.003
8,-0.125664,0.0,-0.000531497,128,9.622
9,-0.125664,0.0,-0.0454231,128,9.986
10,-0.125664,0.0,0.0473124,128,10.001
11,-0.125664,0.0,-0.0674421,128,10.078
12,-0.125664,0.0,0.0293894,241,9.958
13,-0.124766,0.0,0.000373735,128,9.969
14,-0.124766,0.0,-0.0442759,257,14.486
15,-0.123869,0.0,0.00991474,273,5.538
16,-0.123869,0.0,-0.064058,208,10.363
17,-0.123869,0.0,0.0395901,208,9.969
18,-0.123869,0.0,0.00131158,208,9.667
19,-0.123869,0.0,-0.0301648,128,9.98
20,-0.123869,0.0,0.0452573,128,10.065
21,-0.123869,0.0,-0.0634547,208,9.924
22,-0.123869,0.0,0.0431663,112,10.419
23,-0.122971,0.0,-0.0319176,144,9.785
24,-0.122971,0.0,-0.0225646,128,9.804
25,-0.122073,0.0,0.0601211,160,10.063
26,-0.121176,0.0,-0.0586838,112,9.978
27,-0.118483,0.897599,0.0709374,257,9.925
28,-0.114893,0.0,-0.00774928,144,10.492
29,-0.100531,1.7952,0.0520289,176,9.481
30,-0.0987359,1.7952,0.00946487,112,10.012
31,-0.0700127,1.7952,-0.00125604,144,9.896
32,-0.0673199,2.6928,0.114356,-49,10.365
33,-0.0466751,2.6928,0.114356,-162,9.761
34,-0.02244,1.7952,0.00602699,-404,9.936
35,0.0197472,1.7952,0.00602699,-581,10.035
36,0.0233376,1.7952,0.0603002,-662,10.311
37,0.0421871,1.7952,0.126198,-823,9.869
38,0.0556511,0.897599,0.139007,-1306,10.065
39,0.0637295,0.0,0.17599,-1371,9.872
40,0.0664223,0.0,0.252223,-1532,10.025
41,0.0664223,0.0,0.141422,-1596,10.039
42,0.0664223,0.0,0.259652,-1596,10.008
43,0.0664223,0.0,0.233946,-1548,9.866
44,0.0691151,0.0,0.211199,-1564,10.177
45,0.0691151,0.897599,0.304586,-1500,9.824
46,0.0736031,0.897599,0.186166,-1435,10.106
47,0.0807839,1.7952,0.289369,-1483,9.917
48,0.102326,1.7952,0.289369,-1435,10.285
49,0.116688,1.7952,0.185471,-1483,9.796
50,0.131049,0.897599,0.185471,-1532,9.884
51,0.142718,0.897599,0.213817,-1757,10.085
52,0.151694,0.897599,0.336398,-1838,9.841
53,0.152592,0.897599,0.22104,-1886,10.032
54,0.158875,0.0,0.299652,-1983,10.283
55,0.16067,0.0,0.351989,-1983,9.796
56,0.16067,0.0,0.242072,-2015,9.985
57,0.16067,0.0,0.368596,-1935,9.97
58,0.163363,0.0,0.305734,-1951,10.201
59,0.163363,0.897599,0.283673,-1902,9.709
60,0.166953,0.0,0.24425,-1790,10.054
61,0.172339,0.897599,0.234066,-1806,10.073
62,0.17952,1.7952,0.338477,-1806,9.928
63,0.198369,0.897599,0.226021,-1757,10.597
64,0.199267,0.897599,0.28945,-1854,9.407
65,0.215424,0.0,0.311996,-1854,10.07
66,0.220809,0.897599,0.232487,-2015,10.268
67,0.221707,0.0,0.345759,-1951,9.863
68,0.2244,0.0,0.311207,-2015,9.939
69,0.225297,0.0,0.263444,-2080,10.0
70,0.225297,0.0,0.325474,-1983,10.05
71,0.225297,0.0,0.208722,-1951,10.042
72,0.225297,0.0,0.291637,-1918,9.892
73,0.225297,0.0,0.263672,-1854,9.986
74,0.225297,0.0,0.238456,-1822,10.15
75,0.225297,0.0,0.317322,-1838,9.784
76,0.225297,0.0,0.195209,-1773,10.127
77,0.225297,0.0,0.3019,-1725,9.875
78,0.225297,0.0,0.273833,-1693,10.1
79,0.225297,0.0,0.228304,-1661,9.882
80,0.226195,0.0,0.308023,-1612,9.99
81,0.227093,0.897599,0.184228,-1532,10.0
82,0.228888,0.0,0.271262,-1532,10.115
83,0.231581,0.0,0.225196,-1467,9.855
84,0.232478,0.0,0.211273,-1516,10.033
85,0.234273,0.0,0.278937,-1467,10.102
86,0.234273,0.0,0.163245,-1467,9.956
87,0.234273,0.0,0.253434,-1403,9.903
88,0.234273,0.0,0.205495,-1403,10.402
89,0.234273,0.0,0.184318,-1338,9.532
90,0.235171,0.0,0.277389,-1338,10.229
91,0.236069,0.0,0.158215,-1274,9.851
92,0.238761,0.897599,0.255994,-1242,10.119
93,0.244147,0.0,0.176617,-1210,9.865
94,0.244147,0.897599,0.191707,-1210,10.155
95,0.24684,0.0,0.265862,-1306,9.963
96,0.249532,0.0,0.148175,-1242,10.083
97,0.251328,0.0,0.245751,-1274,9.911
98,0.25402,0.0,0.186899,-1177,10.158
99,0.256713,0.897599,0.18183,-1226,9.738
100,0.258508,0.0,0.254088,-1226,10.751
101,0.261201,0.0,0.139971,-1210,9.304
102,0.262099,0.0,0.235656,-1226,10.031
103,0.262996,0.0,0.156435,-1193,10.338
104,0.262996,0.0,0.135524,-1193,9.758
105,0.262996,0.0,0.221565,-1177,10.133
106,0.262996,0.0,0.10156,-1193,9.751
107,0.262996,0.0,0.192496,-1113,10.077
108,0.262996,0.0,0.1512,-1081,10.101
109,0.262996,0.0,0.126564,-1081,9.84
110,0.262996,0.0,0.221878,-1048,10.006
111,0.262996,0.0,0.105249,-1048,9.897
112,0.262996,0.0,0.196475,-1016,10.114
113,0.262996,0.0,0.150321,-1016,9.997
114,0.262996,0.0,0.127047,-952,10.007
115,0.262996,0.0,0.216647,-952,10.161
116,0.262996,0.0,0.0991367,-903,10.347
117,0.262996,0.0,0.183964,-952,9.449
118,0.262996,0.0,0.170913,-919,10.048
119,0.262996,0.0,0.113968,-919,9.986
120,0.263894,0.0,0.207292,-855,10.019
121,0.263894,0.0,0.0832942,-855,10.077
122,0.263894,0.0,0.175819,-791,9.942
123,0.263894,0.897599,0.136645,-791,9.953
124,0.264792,0.0,0.110289,-823,9.983
125,0.264792,0.0,0.200734,-758,10.003
126,0.264792,0.0,0.0808836,-823,10.017
127,0.264792,0.897599,0.169819,-758,10.001
128,0.265689,0.0,0.137515,-742,9.89
129,0.265689,0.0,0.116319,-694,10.436
130,0.265689,0.0,0.17734,-758,9.84
131,0.265689,0.0,0.0656684,-694,10.424
132,0.265689,0.0,0.152028,-662,9.409
133,0.266587,0.0,0.108123,-629,10.016
134,0.266587,0.0,0.0801182,-629,10.044
135,0.266587,0.0,0.173978,-597,9.962
136,0.266587,0.0,0.056627,-629,10.038
137,0.266587,0.0,0.146858,-613,10.092
138,0.266587,0.0,0.119855,-646,9.828
139,0.266587,0.0,0.0883649,-613,10.176
140,0.266587,0.0,0.158161,-597,10.023
141,0.266587,0.0,0.0437143,-517,10.001
142,0.266587,0.0,0.147664,-597,9.84
143,0.267484,0.0,0.11271,-533,9.972
144,0.267484,0.0,0.0514316,-565,9.98
145,0.267484,0.0,0.140893,-468,9.95
146,0.267484,0.0,0.0164369,-484,10.268
147,0.267484,0.0,0.107056,-517,9.826
148,0.267484,0.0,0.0689246,-468,9.927
149,0.267484,0.0,0.0419755,-501,10.224
150,0.267484,0.0,0.110744,-468,9.89
151,0.267484,0.0,-0.0179586,-517,9.969
152,0.267484,0.0,0.0727408,-468,10.062
153,0.266587,0.0,0.0305867,-484,10.024
154,0.266587,0.0,0.0189842,-404,10.212
155,0.266587,0.0,0.0914453,-404,9.576
156,0.265689,0.0,-0.0202107,-549,10.044
157,0.263894,0.0,0.0626241,-468,9.973
158,0.262996,-0.897599,-0.00697636,-436,10.145
159,0.261201,0.0,-0.0044926,-468,9.936
160,0.260304,0.0,0.0768889,-404,10.18
161,0.260304,0.0,-0.0272914,-339,9.845
162,0.260304,0.0,0.0723168,-436,9.908
163,0.260304,0.0,0.0251518,-404,10.032
164,0.260304,0.0,0.0317718,-436,10.069
165,0.260304,0.0,0.0954713,-404,9.87
166,0.260304,0.0,-0.0257846,-372,10.721
167,0.260304,0.0,0.0762178,-436,9.501
168,0.260304,0.0,0.0154281,-404,10.776
169,0.259406,0.0,-0.00890631,-468,9.148
170,0.259406,0.0,0.0846533,-404,10.15
171,0.258508,-0.897599,-0.0286939,-436,9.885
172,0.256713,0.0,0.0621235,-372,9.932
173,0.255816,0.0,0.0360123,-420,10.033
174,0.255816,0.0,-0.0108496,-259,9.937
175,0.255816,0.0,0.0812004,-436,9.986
176,0.255816,0.0,-0.0390512,-291,10.232
177,0.254918,0.0,0.074378,-356,9.848
178,0.254918,0.0,0.0291798,-452,9.983
179,0.254918,0.0,-0.0111473,-420,10.019
180,0.254918,0.0,0.08584,-484,9.912
181,0.254918,0.0,-0.0363917,-484,10.217
182,0.254918,0.0,0.0610289,-356,9.84
183,0.254918,0.0,0.020098,-356,9.955
184,0.254918,0.0,-0.000363289,-436,10.082
