,q [rad],qvel [rad/s],tau [Nm],i [mA],dt [ms]
0,-0.0646271,0.0,0.00377683,-36,13.959
1,-0.0646271,0.0,-0.00135398,-20,4.587
2,-0.0646271,0.0,0.00411778,-20,12.493
3,-0.0646271,0.0,-0.00234594,-4,7.598
4,-0.0646271,0.0,0.00255934,28,9.429
5,-0.0646271,0.0,-0.00427506,44,9.905
6,-0.0646271,0.0,-0.00513107,44,10.028
7,-0.0646271,0.0,0.00467715,77,9.986
8,-0.0646271,0.0,-0.0145274,44,10.22
9,-0.0646271,0.0,0.0014981,28,9.774
10,-0.0646271,0.0,-0.00569571,77,10.058
11,-0.0646271,0.0,-0.0100451,77,9.997
12,-0.0646271,0.0,0.00141161,77,10.117
13,-0.0646271,0.0,-0.0164741,77,10.159
14,-0.0646271,0.0,-0.00119323,77,9.894
15,-0.0646271,0.0,-0.00646621,109,9.782
16,-0.0646271,0.0,-0.00966708,189,10.204
17,-0.0646271,0.0,-0.000546229,93,9.838
18,-0.0637295,0.0,-0.0150445,77,10.021
19,-0.0628319,0.0,-0.00696984,189,9.932
20,-0.0619343,0.0,-0.01243,77,10.198
21,-0.0619343,0.0,-0.0110841,77,9.926
22,-0.0619343,0.0,0.00121203,77,9.895
23,-0.0619343,0.0,-0.0161446,77,10.053
24,-0.0619343,0.0,-0.000679987,44,10.022
25,-0.0619343,0.0,-0.00733944,109,10.008
26,-0.0619343,0.0,-0.00680613,109,9.96
27,-0.0610367,0.0,-0.00110945,109,10.087
28,-0.0601391,0.0,-0.00671244,205,10.22
29,-0.0592415,0.0,0.00927979,77,9.545
30,-0.0574463,0.897599,0.00445686,60,10.729
31,-0.0538559,0.897599,0.0048474,141,9.307
32,-0.0502655,0.0,0.0187809,189,10.257
33,-0.0448799,0.897599,0.0116162,109,9.924
34,-0.0394943,0.897599,0.0263817,-4,10.04
35,-0.0233376,0.897599,0.0278037,93,9.899
36,-0.0215424,1.7952,0.0396298,-20,10.112
37,-0.0116688,1.7952,0.035972,-85,9.719
38,-0.000897599,0.897599,0.050832,-214,10.039
39,0.0197472,0.897599,0.0724911,-278,10.093
40,0.031416,1.7952,0.0676067,-455,10.228
41,0.0332112,0.897599,0.0859397,-487,9.781
42,0.0439823,0.897599,0.107679,-616,9.935
43,0.0619343,0.897599,0.0983149,-697,10.206
44,0.0637295,0.897599,0.122374,-600,9.841
45,0.0736031,0.897599,0.132578,-729,9.918
46,0.0843743,1.7952,0.138673,-794,10.219
47,0.105019,0.897599,0.134053,-777,10.075
48,0.117585,0.897599,0.149907,-794,9.699
49,0.130152,1.7952,0.149907,-874,10.095
50,0.141821,1.7952,0.146439,-1019,10.074
51,0.142718,0.897599,0.172106,-1051,9.836
52,0.152592,0.897599,0.178676,-1180,10.041
53,0.16067,0.897599,0.158775,-1277,10.079
54,0.166056,0.897599,0.178976,-1116,9.977
55,0.171441,0.897599,0.175683,-1148,9.914
56,0.176827,0.0,0.184697,-1148,10.028
57,0.186701,0.897599,0.186779,-1116,10.099
58,0.192984,0.897599,0.166264,-1116,9.847
59,0.192984,0.897599,0.191396,-987,10.112
60,0.200165,0.897599,0.176054,-1116,9.933
61,0.208243,0.897599,0.1736,-1116,10.005
62,0.223502,0.897599,0.175266,-987,10.237
63,0.2244,0.897599,0.161379,-1051,9.762
64,0.232478,0.897599,0.17586,-1051,10.062
65,0.243249,0.897599,0.161756,-1084,10.573
66,0.24684,0.0,0.168581,-1035,9.536
67,0.24684,0.0,0.180233,-1084,9.954
68,0.248635,0.0,0.165091,-1132,9.934
69,0.25043,0.0,0.16894,-1084,9.942
70,0.251328,0.0,0.158342,-987,10.081
71,0.253123,0.897599,0.156192,-971,9.927
72,0.255816,0.0,0.151723,-890,10.128
73,0.259406,0.897599,0.141542,-906,9.834
74,0.262996,0.897599,0.147895,-955,10.136
75,0.266587,0.0,0.141962,-826,9.864
76,0.270177,0.0,0.144994,-890,10.162
77,0.274665,0.0,0.143267,-858,9.825
78,0.283641,0.897599,0.131181,-729,10.303
79,0.283641,0.897599,0.145861,-794,9.823
80,0.289027,0.897599,0.14653,-794,10.052
81,0.298003,0.0,0.143672,-890,9.927
82,0.298003,0.0,0.15579,-729,10.009
83,0.301593,0.897599,0.137107,-890,9.943
84,0.303388,0.897599,0.144587,-858,10.452
85,0.305184,0.0,0.13871,-826,9.41
86,0.306081,0.0,0.125999,-890,10.404
